,CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
0,HPG,2025,2,97613904938535,10688024277258,17584027436423,12334925649801,48853408114115,8153519460938,144610625980515,0,65302976358571,544375244149,0,0,5041262109917,242224530919050,119865026005768,86427453449629,33437572556139,122359504913282,122359504913282,56176646414996,0,825515256158,242224530919050,2755989948090,97061616439,48900263257832,0,1394841242128,63962502000000,63962502000000,27312288660990,306667783670,66692028477152,57563156071,4338725174159,0,827053815447,900453913211
1,HPG,2025,1,88914195573724,7459035818129,16212510112252,10856053423195,46603844415849,7782751804299,139947392214583,0,85838135705767,552837241998,0,0,5015366006415,228861587788307,110864708699178,77298523955478,33566184743700,117996879089129,117996879089129,52943588928234,0,295946918767,228861587788307,2349213570061,89561616439,46713899534932,0,794841242128,63962502000000,63962502000000,27256965869238,570631436241,61784512821075,60588141397,4261916994097,0,848015622228,920743791614
2,HPG,2024,4,86674276272995,6887646139852,18974716730905,7647800286988,46091222189472,7072890925778,137815431280986,0,67428366953514,559598463093,136500000000,0,5016848415359,224489707553981,109842249570282,75225243262689,34617006307593,114647457983699,114647457983699,49599124109203,0,290990632368,224489707553981,2118824427004,87461616439,46192292081813,0,794841242128,63962502000000,63962502000000,27080443256096,739178306553,55882686213459,63613126723,4269141694868,0,840594835822,923400123614
3,HPG,2024,3,80841803394106,8500998079280,16386803148945,9140948029240,40197821463879,6615232672762,130544540534012,0,68475648874477,568026681070,136500000000,0,4642778670407,211386343928118,99607246691658,68995125104046,30612121587612,111779097236460,111779097236460,46809218886586,0,189176035910,211386343928118,2948440731905,318461616439,40480715224028,0,818200313964,63962502000000,63962502000000,24517626484538,440576623880,54180722680952,66834062714,4347213561931,0,841682562478,1031145036427
4,HPG,2024,2,84466831221789,13032037853283,15314673148945,10392801855660,40163540620593,5563777743308,122142248509406,0,70018632033341,576450457500,136500000000,0,4874209747069,206609079731195,97932514837164,73551241248845,24381273588319,108676564894031,108676564894031,43793278849369,0,102583730698,206609079731195,2112090222977,237461616439,40454441094217,0,818200313964,63962502000000,63962502000000,19674955314582,482276831033,53315313650059,69859048040,4612526104983,0,850381710697,1119456422036
5,HPG,2024,1,94032457790196,12428888036237,22271418573603,12105116296231,42714279935957,4512754948168,107907767738311,95351026613,71016027599296,585122402410,0,0,4817528271885,201940225528507,96315644955419,79314487942852,17001157012567,105624580573088,105624580573088,43342850291239,0,104112551615,201940225528507,3486349652033,238584417297,42846344041978,0,818200313964,58147857000000,58147857000000,16080142067527,340776685682,61438295764670,72884033366,4558305203235,0,777913997306,1313739979740
6,HPG,2023,4,82716439173043,12267401160884,22161903502481,10702136439996,34504487406261,3080510663421,105066147390758,95351026613,72014494381617,593920277320,40000000000,0,4454004867718,187782586563801,84946167324422,71513492904733,13432674419689,102836419239379,102836419239379,40593031662656,0,65769846489,187782586563801,2583940446585,203600000000,34628367844950,0,818200313964,58147857000000,58147857000000,10399119292481,741733890580,54981883180636,75909018692,4215007972679,0,781079548004,1880922130348
7,HPG,2023,3,78482566275784,9696669423876,19957222511116,12506103872593,33524022785325,2798547682874,95024445408788,95693561714,72782298055573,602718152230,40000000000,0,4241703068971,173507011684572,73641823428128,64117126047962,9524697380166,99865188256444,99865188256444,37637957599031,0,72040463743,173507011684572,6382755770441,204293835516,33797441007167,0,819978707993,58147857000000,58147857000000,8744590378258,440272925867,49237590969260,78934004018,3940414512830,0,797360888746,893054450460
8,HPG,2023,2,84903568227057,13252855086239,22848207160936,14298660297800,32001578654651,2502267027431,91339753512384,101693561714,68933857375679,611516027140,700000000,0,4279545205102,176243321739441,78383030678319,68684638366804,9698392311515,97860291061122,97860291061122,35628765721538,0,77020576327,176243321739441,7165317196380,198994978279,32260969330532,0,823554378850,58147857000000,58147857000000,8878939971816,474991364466,51748268155863,81958989344,4015522196267,700000000,797215116297,898908678011
9,HPG,2023,1,85412137003655,7868451566326,27420903628936,13830143965796,34306897157900,1985740684697,89996474170665,101693561714,69945445195200,620313902050,700000000,0,4126118803684,175408611174320,78970635902647,67898727221098,11071908681549,96437975271673,96437975271673,34188742435682,0,91030609632,175408611174320,7615042397537,202288720958,34594927921769,0,825685286648,58147857000000,58147857000000,10304996868419,308803858657,50354261925455,84983974670,3812194108908,700000000,797286302189,898979863903
