ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),MINORITY INTERESTS
ACB,2025,2,933541420000000,6666091000000,5439937000000,125447269000000,4958406000000,5160049000000,-201643000000,0,627669396000000,633748683000000,-6079287000000,145778688000000,133862829000000,11915859000000,0,124885000000,0,292867000000,-167982000000,5396553000000,3223395000000,2173158000000,62310000000,11997885000000,933541420000000,846330791000000,21026778000000,96259274000000,567406860000000,318849000000,24547000000,139552843000000,21741640000000,87210629000000,51638345000000,14789568000000,-243816000000,21026532000000,51366566000000,0
ACB,2025,1,891674563000000,5857654000000,13457514000000,129347480000000,4307534000000,4479661000000,-172127000000,0,592430761000000,598805866000000,-6375105000000,129978304000000,118052779000000,11925525000000,0,126773000000,0,292867000000,-166094000000,5311943000000,3148991000000,2162952000000,177005000000,10679595000000,891674563000000,804599986000000,18643287000000,101284086000000,550375020000000,171338000000,26725000000,114051801000000,20047729000000,87074577000000,44938358000000,14789568000000,-65367000000,27412018000000,44666579000000,0
ACB,2024,4,864005703000000,5696449000000,25219753000000,117882259000000,3881151000000,4029088000000,-147937000000,55992000000,573946692000000,580686248000000,-6739556000000,121090243000000,108918477000000,12171766000000,0,124935000000,0,292867000000,-167932000000,5412370000000,3222198000000,2190172000000,177005000000,10518854000000,864005703000000,780544025000000,7954853000000,111591668000000,537304578000000,0,28008000000,101650446000000,22014472000000,83461678000000,44938358000000,14789568000000,0,23733752000000,44666579000000,0
ACB,2024,3,777392922000000,5870526000000,8392393000000,92090423000000,6965867000000,7059448000000,-93581000000,267873000000,548247424000000,554908474000000,-6661050000000,100862391000000,88938255000000,11931400000000,-7264000000,127425000000,0,292867000000,-165442000000,4642986000000,3084190000000,1558796000000,177005000000,9748609000000,777392922000000,698538661000000,19152000000,73519652000000,512123668000000,0,31641000000,90366104000000,22478444000000,78854261000000,44938358000000,11557435000000,-62053000000,22420521000000,44666579000000,0
ACB,2024,2,769678700000000,6594138000000,15724945000000,105419092000000,6125105000000,6236053000000,-110948000000,0,543853038000000,550172293000000,-6319255000000,77089507000000,61663820000000,15438107000000,-12420000000,128875000000,0,292867000000,-163992000000,4665559000000,3119424000000,1546135000000,177005000000,9901436000000,769678700000000,694886022000000,15945000000,93760618000000,511695775000000,61832000000,33175000000,66953215000000,22365462000000,74792678000000,44938358000000,11557435000000,-253241000000,18550126000000,44666579000000,0
ACB,2024,1,727297968000000,6470319000000,7851936000000,121950918000000,7377873000000,7469189000000,-91316000000,0,500339694000000,506112216000000,-5772522000000,67999640000000,45959043000000,22040597000000,0,140025000000,0,303387000000,-163362000000,4670671000000,3234051000000,1436620000000,177005000000,10319887000000,727297968000000,652507236000000,66583000000,89358866000000,492804396000000,518306000000,37321000000,49011681000000,20710083000000,74790732000000,39112283000000,11557435000000,-70648000000,24191662000000,38840504000000,0
ACB,2023,4,718794589000000,6909300000000,18504814000000,114873931000000,7177069000000,7323489000000,-146420000000,0,482234900000000,487601852000000,-5366952000000,73463347000000,44903768000000,28559579000000,0,140025000000,0,303387000000,-163362000000,4762561000000,3317568000000,1444993000000,177005000000,10551637000000,718794589000000,647838628000000,88000000,89506662000000,482702731000000,117126000000,41534000000,52410014000000,23060473000000,70955961000000,39112283000000,11557435000000,0,20286243000000,38840504000000,0
ACB,2023,3,648509938000000,6552560000000,12405261000000,98170290000000,1892458000000,2023422000000,-130964000000,79210000000,444641463000000,449751645000000,-5110182000000,70233160000000,34885148000000,35348012000000,0,140025000000,0,303387000000,-163362000000,4447517000000,3131419000000,1316098000000,177005000000,9770989000000,648509938000000,581684649000000,18552000000,64119526000000,445499845000000,0,45249000000,48858665000000,23142812000000,66825289000000,39112283000000,9220106000000,-124393000000,18617293000000,38840504000000,0
ACB,2023,2,630893170000000,5983591000000,11514014000000,89763275000000,1068921000000,1182088000000,-113167000000,114028000000,429058305000000,434031946000000,-4973641000000,79112752000000,42472830000000,36639922000000,0,146321000000,0,303387000000,-157066000000,4292448000000,3101005000000,1191443000000,177005000000,9662510000000,630893170000000,568025989000000,2921000000,68957498000000,432410465000000,0,49182000000,44657505000000,21948418000000,62867181000000,39112283000000,9220106000000,-44922000000,14579714000000,38840504000000,0
ACB,2023,1,611223523000000,6654779000000,6429413000000,94638910000000,1541928000000,1699679000000,-157751000000,395042000000,406620881000000,411288535000000,-4667654000000,79206253000000,36077453000000,43128800000000,0,141148000000,0,303387000000,-162239000000,4127353000000,2966929000000,1160424000000,177005000000,11290811000000,611223523000000,548693358000000,6110000000,52857299000000,422755092000000,0,55580000000,50155919000000,22863358000000,62530165000000,34046130000000,9220106000000,-43527000000,19307456000000,33774351000000,0
